State,Covid Deaths,Deaths from All Causes,Deaths from All Causes Except Covid,Est Population 2019,Est Population 2020,Covid Death Rate (Est 2019 Pop),All Deaths Rate (Est 2019 Pop),All Deaths Except Covid Death Rate (Est 2019 Pop),Covid Death Rate (Est 2020 Pop),All Deaths Rate  (Est 2020 Pop),All Deaths Except Covid Death Rate  (Est 2020 Pop)
.Alabama,3174,36648,33474,"4,903,185","4,923,185",0.000647334,0.007474325,0.006826991,0.000644705,0.007443962,0.006799257
.Alaska,39,1612,1573,"731,545","733,545",5.33E-05,0.002203555,0.002150244,5.32E-05,0.002197548,0.002144381
.Arizona,4984,48965,43981,"7,278,717","7,378,717",0.000684736,0.006727147,0.006042411,0.000675456,0.006635978,0.005960521
.Arkansas,1043,16163,15120,"3,017,804","3,217,804",0.000345616,0.005355881,0.005010266,0.000324134,0.005022991,0.004698857
.California,14923,191001,176078,"39,512,223","39,542,223",0.000377681,0.004833973,0.004456292,0.000377394,0.004830305,0.004452911
.Colorado,1904,26167,24263,"5,758,736","5,808,736",0.000330628,0.004543879,0.004213251,0.000327782,0.004504767,0.004176984
.Connecticut,4410,22253,17843,"3,565,287","3,595,287",0.001236927,0.006241573,0.005004646,0.001226606,0.006189492,0.004962886
.Delaware,563,6660,6097,"973,764","977,764",0.000578169,0.00683944,0.006261271,0.000575804,0.00681146,0.006235656
.District of Columbia,756,4805,4049,"705,749","707,749",0.001071202,0.00680837,0.005737167,0.001068175,0.00678913,0.005720955
.Florida,14302,155932,141630,"21,477,737","21,877,737",0.000665899,0.007260169,0.00659427,0.000653724,0.007127428,0.006473704
.Georgia,5695,55704,50009,"10,617,423","10,717,423",0.000536383,0.005246471,0.004710088,0.000531378,0.005197518,0.00466614
.Hawaii,150,7393,7243,"1,415,872","1,435,872",0.000105942,0.005221517,0.005115575,0.000104466,0.005148788,0.005044321
.Idaho,431,6930,6499,"1,787,065","1,817,065",0.000241178,0.003877867,0.003636689,0.000237196,0.003813843,0.003576647
.Illinois,7649,69642,61993,"12,671,821","12,771,821",0.000603623,0.005495816,0.004892193,0.000598897,0.005452785,0.004853889
.Indiana,3483,41212,37729,"6,732,219","6,762,219",0.000517363,0.006121607,0.005604244,0.000515068,0.006094449,0.005579382
.Iowa,1199,14628,13429,"3,155,070","3,185,070",0.000380023,0.004636347,0.004256324,0.000376444,0.004592678,0.004216234
.Kansas,600,10990,10390,"2,913,314","2,923,314",0.000205951,0.003772336,0.003566385,0.000205247,0.003759432,0.003554185
.Kentucky,1028,21059,20031,"4,467,673","4,497,673",0.000230097,0.00471364,0.004483542,0.000228563,0.004682199,0.004453636
.Louisiana,4674,32890,28216,"4,648,794","4,658,794",0.001005422,0.007074953,0.006069531,0.001003264,0.007059767,0.006056503
.Maine,139,5695,5556,"1,344,212","1,374,212",0.000103406,0.004236683,0.004133277,0.000101149,0.004144193,0.004043044
.Maryland,4222,37631,33409,"6,045,680","6,145,680",0.00069835,0.006224445,0.005526095,0.000686987,0.006123163,0.005436176
.Massachusetts,8060,45865,37805,"6,892,503","6,922,503",0.001169387,0.006654332,0.005484945,0.001164319,0.006625494,0.005461175
.Michigan,6095,60869,54774,"9,986,857","10,086,857",0.000610302,0.006094911,0.005484608,0.000604252,0.006034486,0.005430235
.Minnesota,1868,22389,20521,"5,639,632","5,659,632",0.000331227,0.00396994,0.003638713,0.000330057,0.003955911,0.003625854
.Mississippi,2595,21061,18466,"2,976,149","2,986,149",0.000871932,0.007076595,0.006204662,0.000869012,0.007052897,0.006183884
.Missouri,1903,33180,31277,"6,137,428","6,147,428",0.000310065,0.005406173,0.005096109,0.00030956,0.005397379,0.005087819
.Montana,108,2097,1989,"1,068,778","1,078,778",0.00010105,0.001962054,0.001861004,0.000100113,0.001943866,0.001843753
.Nebraska,421,7470,7049,"1,934,408","1,944,408",0.000217638,0.003861647,0.003644009,0.000216518,0.003841786,0.003625268
.Nevada,1433,17507,16074,"3,080,156","3,110,156",0.000465236,0.005683803,0.005218567,0.000460749,0.005628978,0.00516823
.New Hampshire,400,5243,4843,"1,359,711","1,364,711",0.00029418,0.003855966,0.003561786,0.000293102,0.003841839,0.003548737
.New Jersey,14297,65420,51123,"8,882,190","8,982,190",0.001609626,0.007365301,0.005755675,0.001591705,0.007283302,0.005691596
.New Mexico,762,9432,8670,"2,096,829","2,126,829",0.000363406,0.004498221,0.004134815,0.00035828,0.004434771,0.004076491
.New York,32259,131087,98828,"19,453,561","19,553,561",0.001658257,0.006738458,0.005080201,0.001649776,0.006703996,0.00505422
.North Carolina,2331,46343,44012,"10,488,084","10,628,084",0.000222252,0.004418634,0.004196381,0.000219325,0.004360428,0.004141104
.North Dakota,178,2942,2764,"762,062","764,062",0.000233577,0.003860578,0.003627001,0.000232965,0.003850473,0.003617507
.Ohio,4099,71900,67801,"11,689,100","11,719,100",0.000350669,0.00615103,0.005800361,0.000349771,0.006135283,0.005785513
.Oklahoma,947,18176,17229,"3,956,971","3,986,971",0.000239324,0.004593412,0.004354088,0.000237524,0.004558849,0.004321326
.Oregon,469,17086,16617,"4,217,737","4,257,737",0.000111197,0.004050988,0.00393979,0.000110152,0.00401293,0.003902777
.Pennsylvania,8236,85954,77718,"12,801,989","12,951,989",0.000643338,0.006714113,0.006070775,0.000635887,0.006636355,0.006000468
.Rhode Island,1045,6750,5705,"1,059,361","1,061,361",0.000986444,0.006371766,0.005385322,0.000984585,0.006359759,0.005375174
.South Carolina,3078,36234,33156,"5,148,714","5,178,714",0.000597819,0.007037485,0.006439666,0.000594356,0.006996718,0.006402362
.South Dakota,182,2414,2232,"884,659","884,659",0.000205729,0.002728735,0.002523006,0.000205729,0.002728735,0.002523006
.Tennessee,23896,41335,17439,"6,829,174","6,879,174",0.003499105,0.006052709,0.002553603,0.003473673,0.006008716,0.002535043
.Texas,15627,141965,126338,"28,995,881","29,495,881",0.000538939,0.00489604,0.004357102,0.000529803,0.004813045,0.004283242
