Asian Age Group,Covid Jan,Covid Feb,Covid March,Covid April,Covid May,Covid June,Covid July,Covid Aug,Total Covid Deaths,All Cause Jan,All Cause Feb,All Cause March,All Cause April,All Cause May,All Cause June,All Cause July,All Cause Aug,Total Deaths
0-4 years,0,0,0,0,0,0,0,0,0,26,32,26,20,16,30,18,10,178
15-24 years,0,0,0,0,0,0,0,0,0,27,30,21,18,19,20,29,0,164
25-34 years,0,0,0,0,0,0,0,0,0,37,38,30,37,30,41,44,23,280
35-44 years,0,0,0,11,0,0,0,0,11,53,67,75,75,79,77,63,35,524
45-54 years,0,0,0,62,22,13,13,0,110,131,132,152,203,162,164,142,93,1179
5-14 years,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-64 years,0,0,20,134,52,27,29,0,262,260,280,318,445,317,280,258,211,2369
65-74 years,0,0,27,222,127,51,71,47,545,562,477,550,772,611,496,533,392,4393
75-84 years,0,0,40,336,149,69,65,34,693,747,715,844,1136,879,772,777,582,6452
85 years and over,0,0,43,506,295,119,139,79,1181,1526,1349,1450,2150,1593,1299,1357,1040,11764
