Afr Ame Age Group,Covid Jan,Covid Feb,Covid March,Covid April,Covid May,Covid June,Covid July,Covid Aug,Total Covid Deaths,All Cause Jan,All Cause Feb,All Cause March,All Cause April,All Cause May,All Cause June,All Cause July,All Cause Aug,Total Deaths
0-4 years,0,0,0,0,0,0,0,0,0,257,238,261,210,228,220,203,85,1702
15-24 years,0,0,0,13,0,0,0,0,13,143,133,146,169,192,230,191,89,1293
25-34 years,0,0,16,48,18,15,26,17,140,322,342,405,432,411,427,399,212,2950
35-44 years,0,0,31,130,62,45,79,28,375,574,501,640,750,705,645,693,378,4886
45-54 years,0,0,68,370,168,101,187,54,948,1171,1035,1244,1555,1301,1189,1271,632,9398
5-14 years,0,0,0,0,0,0,0,0,0,32,36,32,38,29,52,52,22,293
55-64 years,0,0,152,1020,480,228,374,179,2433,2480,2300,2655,3583,2840,2450,2637,1423,20368
65-74 years,0,0,227,1636,780,345,545,254,3787,3185,3010,3481,5143,3950,3328,3492,1969,27558
75-84 years,0,0,221,1921,876,376,509,262,4165,3252,3088,3719,5843,4027,3353,3468,2011,28761
85 years and over,0,0,168,1841,1026,357,451,216,4059,3776,3459,4147,6578,4900,3706,3859,2312,32737
