White Age Group,Covid Jan,Covid Feb,Covid March,Covid April,Covid May,Covid June,Covid July,Covid Aug,Total Covid Deaths,All Cause Jan,All Cause Feb,All Cause March,All Cause April,All Cause May,All Cause June,All Cause July,All Cause Aug,Total Deaths
0-4 years,0,0,0,0,0,0,0,0,0,414,358,315,309,373,316,282,186,2553
15-24 years,0,0,0,0,0,0,0,0,0,361,353,356,373,385,387,349,243,2807
25-34 years,0,0,0,22,11,0,14,0,47,931,886,1028,996,1073,980,987,604,7485
35-44 years,0,0,11,46,26,14,32,22,151,1634,1462,1673,1673,1740,1604,1647,1052,12485
45-54 years,0,0,28,196,118,68,103,70,583,3448,3372,3362,3505,3464,3436,3494,2313,26394
5-14 years,0,0,0,0,0,0,0,0,0,93,98,87,71,76,102,87,37,651
55-64 years,0,0,78,778,492,218,379,263,2208,9353,8679,9220,9256,8945,8386,8887,6102,68828
65-74 years,0,0,198,1989,1376,519,915,578,5575,16830,15370,16322,17173,16110,14801,15577,10878,123061
75-84 years,0,0,360,3928,2583,1064,1489,991,10415,24420,22903,24519,26789,24301,21493,22839,16651,183915
85 years and over,0,0,495,8060,5973,1973,2374,1518,20393,41426,37839,40757,48892,42596,35517,36952,27301,311280
