Af Am Age Group,Covid Jan,Covid Feb,Covid March,Covid April,Covid May,Covid June,Covid July,Covid Aug,Total Covid Deaths,All Cause Jan,All Cause Feb,All Cause March,All Cause April,All Cause May,All Cause June,All Cause July,All Cause Aug,Total Deaths
0-4 years,0,0,0,0,0,0,0,0,0,291,303,331,291,304,261,230,105,2116
15-24 years,0,0,0,14,0,0,11,0,25,493,420,485,550,600,694,671,316,4229
25-34 years,0,0,19,95,32,22,42,11,221,740,722,848,1009,1087,1084,1019,547,7056
35-44 years,0,0,55,217,78,44,88,34,516,979,896,988,1272,1226,1112,1093,562,8128
45-54 years,0,0,136,667,260,133,215,99,1510,1635,1516,1802,2471,2098,1868,1835,940,14165
5-14 years,0,0,0,0,0,0,0,0,0,56,60,47,76,74,81,78,28,500
55-64 years,0,0,254,1588,685,281,493,190,3491,3537,3357,3818,5465,4292,3511,3882,1992,29854
65-74 years,0,0,302,2474,1167,435,693,322,5393,4069,3842,4521,6999,5132,4094,4449,2390,35496
75-84 years,0,0,245,2219,986,379,515,264,4608,3028,2846,3446,5797,3896,3021,3146,1828,27008
85 years and over,0,0,125,1187,539,186,304,168,2509,1891,1771,2178,3472,2402,1782,1990,1186,16672
