White Age Group,Covid Jan,Covid Feb,Covid March,Covid April,Covid May,Covid June,Covid July,Covid Aug,Total Covid Deaths,All Cause Jan,All Cause Feb,All Cause March,All Cause April,All Cause May,All Cause June,All Cause July,All Cause Aug,Total Deaths
0-4 years,0,0,0,0,0,0,0,0,0,454,427,429,405,468,436,394,195,3208
15-24 years,0,0,0,0,0,0,10,0,10,839,808,944,920,1046,1014,1004,617,7192
25-34 years,0,0,11,44,21,14,22,0,112,2041,1934,2095,2310,2440,2374,2170,1415,16779
35-44 years,0,0,28,89,51,28,69,26,291,2831,2628,3014,3163,3430,2999,3313,2044,23422
45-54 years,0,0,76,457,202,97,175,109,1116,5654,5128,5568,5897,6081,5657,5669,3726,43380
5-14 years,0,0,0,0,0,0,0,0,0,127,124,130,108,145,138,121,77,970
55-64 years,0,0,213,1553,841,326,624,419,3976,14391,13495,14460,15169,14805,13723,14186,9372,109601
65-74 years,0,0,409,3443,1887,804,1421,922,8886,22581,20750,22740,24610,22208,20680,21851,15290,170710
75-84 years,0,0,602,4920,2766,1095,2146,1337,12866,26591,24576,27351,29926,26414,23820,25566,18240,202484
85 years and over,0,0,525,5461,3243,1219,1842,1146,13436,26379,24574,26568,30781,25956,22688,23946,17523,198415
