Date Of Death Year,Date Of Death Month,Sex,Race/Ethnicity,AgeGroup,AllCause,"COVID-19 (U071, Underlying Cause of Death)",,,,,,,,,
2019,1,Female (F),Hispanic,0-4 years,184,0,,,,,,,,,
2019,1,Female (F),Hispanic,15-24 years,125,0,,,,,,,,,
2019,1,Female (F),Hispanic,25-34 years,198,0,,,,,,,,,
2019,1,Female (F),Hispanic,35-44 years,336,0,,,,,,,,,
2019,1,Female (F),Hispanic,45-54 years,590,0,,,,,,,,,
2019,1,Female (F),Hispanic,5-14 years,44,0,,,,,,,,,
2019,1,Female (F),Hispanic,55-64 years,1001,0,,,,,,,,,
2019,1,Female (F),Hispanic,65-74 years,1367,0,,,,,,,,,
2019,1,Female (F),Hispanic,75-84 years,1969,0,,,,,,,,,
2019,1,Female (F),Hispanic,85 years and over,2730,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,0-4 years,17,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,15-24 years,12,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,25-34 years,43,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,35-44 years,55,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,45-54 years,68,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,5-14 years,,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,55-64 years,129,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,65-74 years,149,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,75-84 years,148,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic American Indian or Alaska Native,85 years and over,150,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic Asian,0-4 years,24,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic Asian,15-24 years,13,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic Asian,25-34 years,32,0,,,,,,,,,
2019,1,Female (F),Non-Hispanic Asian,35-44 years,64,0,,,,,,,,,
